Foundation,Project,Repository URL,Check Sets,Adopters,Annual Review,Changelog,Code of Conduct,Contributing,Governance,Maintainers,Readme,Roadmap,Summary Table,Website,License Approved,License Scanning,License SPDX ID,Analytics,ArtifactHub Badge,CLA,Community Meeting,DCO,GitHub discussions,OpenSSF best practices badge,OpenSSF Scorecard badge,Recent Release,Slack Presence,Binary Artifacts,Code Review,Dangerous Workflow,Dependency Update Tool,Maintained,SBOM,Security Policy,Signed Releases,Token Permissions,Trademark Disclaimer
cncf,porter,https://github.com/getporter/porter,"{community,code}",t,t,t,t,t,t,t,t,t,f,t,t,f,Apache-2.0,,f,f,t,t,t,f,f,t,f,t,t,t,t,t,f,f,f,f,t
cncf,pravega,https://github.com/pravega/pravega,"{community,code}",f,f,f,t,t,f,f,t,f,f,t,t,f,Apache-2.0,GA3,f,f,f,t,t,t,f,t,f,t,t,t,f,t,f,f,t,f,t
cncf,prometheus,https://github.com/prometheus/node_exporter,{code-lite},,,,,t,,t,t,,,,t,,Apache-2.0,,,f,,t,,,,t,,,,,,,,,,,
cncf,prometheus,https://github.com/prometheus/docs,{docs},,,,,,,,t,,,,t,,Apache-2.0,,,,,,,,,,,,,,,,,,,,
cncf,prometheus,https://github.com/prometheus/alertmanager,{code-lite},,,,,t,,t,t,,,,t,,Apache-2.0,,,f,,t,,,,t,,,,,,,,,,,
cncf,prometheus,https://github.com/prometheus/prometheus,"{community,code}",f,f,t,t,t,f,t,t,f,t,t,t,f,Apache-2.0,GA4,f,f,f,t,t,t,f,t,f,t,t,t,t,t,f,t,f,f,t
cncf,rook,https://github.com/rook/rook,"{community,code}",t,f,f,t,t,t,t,t,t,t,t,t,t,Apache-2.0,,f,f,t,t,t,t,f,t,f,t,t,t,t,t,f,t,f,f,t
cncf,schemahero,https://github.com/schemahero/schemahero,"{community,code}",t,f,f,t,t,f,t,t,t,f,t,t,f,Apache-2.0,GA3,f,f,f,t,f,f,f,t,t,t,t,t,t,t,f,f,f,f,t
cncf,sealer,https://github.com/sealerio/sealer,{code},,,f,,t,,t,t,,,,t,t,Apache-2.0,,f,f,,t,,t,f,t,,t,t,f,t,t,f,f,f,f,
cncf,sealer,https://github.com/sealerio/community,{community},f,t,,f,f,t,,t,f,f,f,,,"Not detected",,,,t,,f,,,,f,,,,,,,f,,,f
cncf,serverless-devs,https://github.com/Serverless-Devs/core,{code-lite},,,,,t,,f,t,,,,t,,MIT,,,f,,t,,,,t,,,,,,,,,,,
cncf,serverless-devs,https://github.com/Serverless-Devs/registry-cli,{code-lite},,,,,f,,f,f,,,,t,,MIT,,,f,,t,,,,t,,,,,,,,,,,
cncf,serverless-devs,https://github.com/serverless-devs/serverless-devs,"{community,code}",f,f,f,t,t,f,t,f,t,f,t,t,f,Apache-2.0,,f,f,f,t,t,f,f,t,f,t,f,t,f,t,f,f,f,f,t
cncf,serverless-workflow,https://github.com/serverlessworkflow/specification,"{community,code}",f,t,t,t,t,t,t,t,t,f,t,t,f,Apache-2.0,GA3,f,f,t,t,t,f,f,f,t,t,t,t,f,t,f,f,f,f,f
cncf,skooner,https://github.com/skooner-k8s/skooner,"{community,code}",f,f,f,t,t,f,t,t,f,f,t,t,t,Apache-2.0,,f,f,f,t,t,f,f,f,f,t,f,t,t,t,f,f,f,f,f
cncf,slimtoolkit,https://github.com/slimtoolkit/slim,"{community,code}",t,f,t,t,t,t,t,t,t,f,t,t,f,Apache-2.0,,f,f,f,t,t,f,f,t,t,t,f,t,t,t,f,t,f,f,f
cncf,smi,https://github.com/servicemeshinterface/smi-spec,"{community,code}",f,f,t,t,t,t,t,t,f,f,t,t,f,Apache-2.0,,f,f,t,t,f,f,f,f,t,t,t,t,f,f,f,f,f,f,t
cncf,smi,https://github.com/servicemeshinterface/smi-sdk-go,{code},,,t,,t,,t,t,,,,t,f,Apache-2.0,,f,f,,t,,f,f,f,,t,t,t,f,f,f,f,f,f,
cncf,smi,https://github.com/servicemeshinterface/smi-metrics,{code},,,t,,t,,t,t,,,,t,f,Apache-2.0,,f,f,,t,,f,f,f,,t,t,t,f,f,f,f,f,f,
cncf,smp,https://github.com/service-mesh-performance/service-mesh-performance,"{community,code}",f,f,f,t,t,t,t,t,t,f,t,t,f,Apache-2.0,,f,f,t,f,f,t,f,t,f,t,f,t,t,t,f,f,f,f,f
cncf,sops,https://github.com/mozilla/sops,"{community,code}",f,f,t,t,t,f,f,t,f,f,f,f,f,MPL-2.0,,f,f,f,t,t,f,f,f,f,t,t,t,t,t,f,t,t,f,f
cncf,sops,https://github.com/mozilla/sotp,{code-lite},,,,,f,,f,t,,,,f,,"Not detected",,,f,,t,,,,f,,,,,,,,,,,
cncf,spiffe,https://github.com/spiffe/spiffe,"{community,code}",f,f,f,t,t,t,t,t,f,t,t,t,f,Apache-2.0,GA3,f,f,f,t,f,f,f,f,f,t,t,t,f,t,f,f,f,t,t
cncf,spire,https://github.com/spiffe/spire,"{community,code}",t,f,t,t,t,t,t,t,t,t,t,t,f,Apache-2.0,GA3,f,f,f,t,f,t,f,t,f,t,t,t,t,t,f,t,f,t,t
cncf,strimzi,https://github.com/strimzi/strimzi-kafka-oauth,{code-lite},,,,,t,,t,t,,,,t,,Apache-2.0,,,f,,t,,,,t,,,,,,,,,,,
cncf,strimzi,https://github.com/strimzi/strimzi-kafka-bridge,{code-lite},,,,,t,,t,t,,,,t,,Apache-2.0,,,f,,t,,,,t,,,,,,,,,,,
cncf,strimzi,https://github.com/strimzi/strimzi-kafka-operator,"{community,code}",t,t,t,t,t,t,t,t,t,t,t,t,f,Apache-2.0,GA3,t,f,t,t,t,f,f,t,t,t,t,t,t,t,f,t,f,f,t
cncf,submariner,https://github.com/submariner-io/submariner,"{community,code}",t,f,f,t,t,t,t,t,f,f,f,t,f,Apache-2.0,,f,f,f,t,t,t,f,t,f,t,f,t,t,t,f,f,f,t,f
cncf,superedge,https://github.com/superedge/superedge,"{community,code}",f,f,t,t,t,t,t,t,f,f,t,f,f,"Not detected",GA3,f,f,f,t,f,f,f,f,t,t,t,t,f,t,f,t,f,f,t
cncf,telepresence,https://github.com/telepresenceio/telepresence,"{community,code}",f,f,t,f,f,t,t,t,f,t,t,t,f,Apache-2.0,,f,f,t,t,f,f,f,t,f,t,t,f,t,t,f,t,f,f,f
