URL,Date,Security Score,Project,Foundation,Maturity,CheckSets,Slam22 Participant,SBOM,Maintained,Code Review,Security Policy,Signed Releases,Binary Artifacts,Token Permissions,Dangerous Workflow,Dependency Update Tool
https://github.com/G-Research/armada,2023-04,60.000000,armada,cncf,sandbox,[community code],%!t(string=No: armada),0,1,1,0,0,1,0,1,1
https://github.com/G-Research/armada,2023-03,60.000000,armada,cncf,sandbox,[community code],%!t(string=No: armada),0,1,1,0,0,1,0,1,1
https://github.com/G-Research/armada,2023-02,60.000000,armada,cncf,sandbox,[community code],%!t(string=No: armada),0,1,1,0,0,1,0,1,1
https://github.com/G-Research/armada,2023-01,60.000000,armada,cncf,sandbox,[community code],%!t(string=No: armada),0,1,1,0,0,1,0,1,1
https://github.com/G-Research/armada,2022-12,60.000000,armada,cncf,sandbox,[community code],%!t(string=No: armada),0,1,1,0,0,1,0,1,1
https://github.com/G-Research/armada,2022-11,60.000000,armada,cncf,sandbox,[community code],%!t(string=No: armada),0,1,1,0,0,1,0,1,1
https://github.com/G-Research/armada,2022-10,60.000000,armada,cncf,sandbox,[community code],%!t(string=No: armada),0,1,1,0,0,1,0,1,1
https://github.com/artifacthub/hub,2023-08,100.000000,artifact-hub,cncf,sandbox,[community code],%!t(string=Yes: artifact-hub),1,1,1,1,1,1,1,1,1
https://github.com/artifacthub/hub,2023-07,100.000000,artifact-hub,cncf,sandbox,[community code],%!t(string=Yes: artifact-hub),1,1,1,1,1,1,1,1,1
https://github.com/artifacthub/hub,2023-06,100.000000,artifact-hub,cncf,sandbox,[community code],%!t(string=Yes: artifact-hub),1,1,1,1,1,1,1,1,1
https://github.com/artifacthub/hub,2023-05,100.000000,artifact-hub,cncf,sandbox,[community code],%!t(string=Yes: artifact-hub),1,1,1,1,1,1,1,1,1
https://github.com/artifacthub/hub,2023-04,100.000000,artifact-hub,cncf,sandbox,[community code],%!t(string=Yes: artifact-hub),1,1,1,1,1,1,1,1,1
https://github.com/artifacthub/hub,2023-03,100.000000,artifact-hub,cncf,sandbox,[community code],%!t(string=Yes: artifact-hub),1,1,1,1,1,1,1,1,1
https://github.com/artifacthub/hub,2023-02,100.000000,artifact-hub,cncf,sandbox,[community code],%!t(string=Yes: artifact-hub),1,1,1,1,1,1,1,1,1
https://github.com/artifacthub/hub,2023-01,100.000000,artifact-hub,cncf,sandbox,[community code],%!t(string=Yes: artifact-hub),1,1,1,1,1,1,1,1,1
https://github.com/artifacthub/hub,2022-12,100.000000,artifact-hub,cncf,sandbox,[community code],%!t(string=Yes: artifact-hub),1,1,1,1,1,1,1,1,1
https://github.com/artifacthub/hub,2022-11,100.000000,artifact-hub,cncf,sandbox,[community code],%!t(string=Yes: artifact-hub),1,1,1,1,1,1,1,1,1
https://github.com/artifacthub/hub,2022-10,100.000000,artifact-hub,cncf,sandbox,[community code],%!t(string=Yes: artifact-hub),1,1,1,1,1,1,1,1,1
